,GAME_ID,PLAYER_ID,PLAYER_NAME_LAST_FIRST_home,TEAM_NAME_home,TEAM_ID_home,TEAM_ABBREVIATION_home,PASS_TYPE_home,G_home,PASS_TO_home,PASS_TEAMMATE_PLAYER_ID_home,FREQUENCY_home,PASS_home,AST_home,FGM_home,FGA_home,FG_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,PLAYER_NAME_LAST_FIRST_away,TEAM_NAME_away,TEAM_ID_away,TEAM_ABBREVIATION_away,PASS_TYPE_away,G_away,PASS_TO_away,PASS_TEAMMATE_PLAYER_ID_away,FREQUENCY_away,PASS_away,AST_away,FGM_away,FGA_away,FG_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,POSITION,mean,std,
23,41900311,201162,"Dudley, Jared",Los Angeles Lakers,1610612747,LAL,made,1,"Smith, JR",2747,0.2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Jared Dudley,nan,nan,nan,04:08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-9,Forward,0.082776316,0.098088259,
24,41900311,201580,"McGee, JaVale",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.143,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,JaVale McGee,nan,C,nan,10:42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,-11,Center-Forward,0.083162047,0.101429038,
25,41900311,201580,"McGee, JaVale",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.143,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,JaVale McGee,nan,C,nan,10:42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,-11,Center-Forward,0.083162047,0.101429038,
26,41900311,201580,"McGee, JaVale",Los Angeles Lakers,1610612747,LAL,made,1,"Green, Danny",201980,0.143,1,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,JaVale McGee,nan,C,nan,10:42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,-11,Center-Forward,0.083162047,0.101429038,
27,41900311,201580,"McGee, JaVale",Los Angeles Lakers,1610612747,LAL,made,1,"Dudley, Jared",201162,0.143,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,JaVale McGee,nan,C,nan,10:42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,-11,Center-Forward,0.083162047,0.101429038,
28,41900311,201580,"McGee, JaVale",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,0.429,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,JaVale McGee,nan,C,nan,10:42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,-11,Center-Forward,0.083162047,0.101429038,
29,41900311,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.261,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Danny Green,nan,G,nan,23:26,3,10,0.3,1,4,0.25,1,1,1,2,3,5,1,2,1,0,3,8,20,Guard,0.075799272,0.077729536,
30,41900311,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.043,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Danny Green,nan,G,nan,23:26,3,10,0.3,1,4,0.25,1,1,1,2,3,5,1,2,1,0,3,8,20,Guard,0.075799272,0.077729536,
31,41900311,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.261,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Danny Green,nan,G,nan,23:26,3,10,0.3,1,4,0.25,1,1,1,2,3,5,1,2,1,0,3,8,20,Guard,0.075799272,0.077729536,
32,41900311,201980,"Green, Danny",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,0.435,10,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Danny Green,nan,G,nan,23:26,3,10,0.3,1,4,0.25,1,1,1,2,3,5,1,2,1,0,3,8,20,Guard,0.075799272,0.077729536,
33,41900311,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.032,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15,Forward-Center,0.077637747,0.102997186,
34,41900311,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.032,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15,Forward-Center,0.077637747,0.102997186,
35,41900311,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.161,5,1,1,2,0.5,1,2,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15,Forward-Center,0.077637747,0.102997186,
36,41900311,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Green, Danny",201980,0.065,2,1,1,2,0.5,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15,Forward-Center,0.077637747,0.102997186,
37,41900311,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.323,10,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15,Forward-Center,0.077637747,0.102997186,
38,41900311,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,0.032,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15,Forward-Center,0.077637747,0.102997186,
39,41900311,203076,"Davis, Anthony",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,0.355,11,0,0,2,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Anthony Davis,nan,F,nan,32:47:00,12,21,0.571,1,3,0.333,12,15,0.8,3,7,10,4,0,0,3,3,37,15,Forward-Center,0.077637747,0.102997186,
40,41900311,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.111,2,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,G,nan,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9,Guard,0.075799272,0.077729536,
41,41900311,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Caruso, Alex",1627936,0.056,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,G,nan,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9,Guard,0.075799272,0.077729536,
42,41900311,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.056,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,G,nan,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9,Guard,0.075799272,0.077729536,
43,41900311,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Morris, Markieff",202693,0.056,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,G,nan,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9,Guard,0.075799272,0.077729536,
44,41900311,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"McGee, JaVale",201580,0.056,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,G,nan,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9,Guard,0.075799272,0.077729536,
45,41900311,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.333,6,0,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,G,nan,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9,Guard,0.075799272,0.077729536,
46,41900311,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,0.333,6,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Kentavious Caldwell-Pope,nan,G,nan,29:58:00,6,10,0.6,3,5,0.6,3,4,0.75,0,1,1,1,1,1,0,2,18,9,Guard,0.075799272,0.077729536,
47,41900311,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.4,2,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,02:48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,Guard,0.075799272,0.077729536,
48,41900311,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Dudley, Jared",201162,0.2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,02:48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,Guard,0.075799272,0.077729536,
49,41900311,1626188,"Cook, Quinn",Los Angeles Lakers,1610612747,LAL,made,1,"Smith, JR",2747,0.4,2,0,1,2,0.5,0,0,0,1,2,0.5,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Quinn Cook,nan,nan,nan,02:48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,Guard,0.075799272,0.077729536,
50,41900311,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.056,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:19,1,3,0.333,0,2,0,3,5,0.6,1,1,2,4,0,1,0,4,5,6,Guard,0.075799272,0.077729536,
51,41900311,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.056,2,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:19,1,3,0.333,0,2,0,3,5,0.6,1,1,2,4,0,1,0,4,5,6,Guard,0.075799272,0.077729536,
52,41900311,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,0.028,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:19,1,3,0.333,0,2,0,3,5,0.6,1,1,2,4,0,1,0,4,5,6,Guard,0.075799272,0.077729536,
53,41900311,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Morris, Markieff",202693,0.028,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:19,1,3,0.333,0,2,0,3,5,0.6,1,1,2,4,0,1,0,4,5,6,Guard,0.075799272,0.077729536,
54,41900311,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Green, Danny",201980,0.083,3,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1610612747,LAL,Los Angeles,Alex Caruso,nan,nan,nan,22:19,1,3,0.333,0,2,0,3,5,0.6,1,1,2,4,0,1,0,4,5,6,Guard,0.075799272,0.077729536,
