,PLAYER_ID_home,PLAYER_NAME_LAST_FIRST_home,TEAM_NAME_home,TEAM_ID_home,TEAM_ABBREVIATION_home,PASS_TYPE_home,G_home,PASS_TO_home,PASS_TEAMMATE_PLAYER_ID_home,FREQUENCY_home,PASS_home,AST_home,FGM_home,FGA_home,FG_PCT_home,FG2M_home,FG2A_home,FG2_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,GAME_ID,PLAYER_ID_away,PLAYER_NAME_LAST_FIRST_away,TEAM_NAME_away,TEAM_ID_away,TEAM_ABBREVIATION_away,PASS_TYPE_away,G_away,PASS_TO_away,PASS_TEAMMATE_PLAYER_ID_away,FREQUENCY_away,PASS_away,AST_away,FGM_away,FGA_away,FG_PCT_away,FG2M_away,FG2A_away,FG2_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,POSITION_home,mean_x,std_x,POSITION_away,mean_y,std_y
455,1627750,"Murray, Jamal",Denver Nuggets,1610612743,DEN,made,1,"Jokic, Nikola",203999,5.457394281,31,2,2,5,0.4,2,5,0.4,0,0,0,21900304,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"McGee, JaVale",201580,0.542917527,4,1,1,1,1,1,1,1,0,0,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
456,1627750,"Murray, Jamal",Denver Nuggets,1610612743,DEN,made,1,"Grant, Jerami",203924,-0.35764104,3,0,0,1,0,0,0,0,0,1,0,21900304,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,0.156963855,3,0,0,0,0,0,0,0,0,0,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
457,1627750,"Murray, Jamal",Denver Nuggets,1610612743,DEN,made,1,"Harris, Gary",203914,0.478591915,7,0,0,1,0,0,0,0,0,1,0,21900304,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"Howard, Dwight",2730,-0.216124694,2,0,0,0,0,0,0,0,0,0,0,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
458,1627750,"Murray, Jamal",Denver Nuggets,1610612743,DEN,made,1,"Plumlee, Mason",203486,-0.563482999,2,0,0,0,0,0,0,0,0,0,0,21900304,203484,"Caldwell-Pope, Kentavious",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,3.56622129,12,2,2,4,0.5,1,3,0.333,1,1,1,Guard,0.075799272,0.077729536,Guard,0.075799272,0.077729536
459,1627750,"Murray, Jamal",Denver Nuggets,1610612743,DEN,made,1,"Barton, Will",203115,0.684433873,8,0,0,2,0,0,0,0,0,2,0,21900304,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Daniels, Troy",203584,-0.201617563,1,0,0,0,0,0,0,0,0,0,0,Guard,0.075799272,0.077729536,Forward,0.082776316,0.098088259
460,1627750,"Murray, Jamal",Denver Nuggets,1610612743,DEN,made,1,"Millsap, Paul",200794,0.890275832,9,3,3,5,0.6,2,4,0.5,1,1,1,21900304,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Caldwell-Pope, Kentavious",203484,0.43046624,2,0,0,0,0,0,0,0,0,0,0,Guard,0.075799272,0.077729536,Forward,0.082776316,0.098088259
461,203924,"Grant, Jerami",Denver Nuggets,1610612743,DEN,made,1,"Morris, Monte",1628420,2.551005449,8,0,0,1,0,0,1,0,0,0,0,21900304,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Davis, Anthony",203076,-0.201617563,1,1,1,1,1,0,0,0,1,1,1,Forward,0.082776316,0.098088259,Forward,0.082776316,0.098088259
462,203924,"Grant, Jerami",Denver Nuggets,1610612743,DEN,made,1,"Hernangomez, Juancho",1627823,-0.415710464,1,0,0,1,0,0,0,0,0,1,0,21900304,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"Rondo, Rajon",200765,3.621469954,7,1,1,1,1,0,0,0,1,1,1,Forward,0.082776316,0.098088259,Forward,0.082776316,0.098088259
463,203924,"Grant, Jerami",Denver Nuggets,1610612743,DEN,made,1,"Murray, Jamal",1627750,1.276642944,5,0,0,0,0,0,0,0,0,0,0,21900304,1628398,"Kuzma, Kyle",Los Angeles Lakers,1610612747,LAL,made,1,"James, LeBron",2544,2.347107448,5,0,1,1,1,1,1,1,0,0,0,Forward,0.082776316,0.098088259,Forward,0.082776316,0.098088259
464,203924,"Grant, Jerami",Denver Nuggets,1610612743,DEN,made,1,"Beasley, Malik",1627736,1.276642944,5,1,1,2,0.5,1,1,1,0,1,0,21900304,1627936,"Caruso, Alex",Los Angeles Lakers,1610612747,LAL,made,1,"Kuzma, Kyle",1628398,0.735894363,2,0,0,0,0,0,0,0,0,0,0,Forward,0.082776316,0.098088259,Guard,0.075799272,0.077729536
